#mpa_v30_CHOCOPhlAn_201901
#/home/gordonq/.conda/envs/my_base/bin/metaphlan /groups/cgsd/gordonq/TSS_depth/matched_public_data/DNA_primary/X319146421_RNAlater_1.fastq.gz,/groups/cgsd/gordonq/TSS_depth/matched_public_data/DNA_primary/X319146421_RNAlater_2.fastq.gz --input_type fastq --bowtie2out mpa_res/X319146421_RNAlater.bowtie2.bz2 --nproc 64 -o mpa_res/X319146421_RNAlater.txt
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.8281	
k__Archaea	2157	0.1719	
k__Bacteria|p__Firmicutes	2|1239	50.42776	
k__Bacteria|p__Bacteroidetes	2|976	45.95476	
k__Bacteria|p__Proteobacteria	2|1224	2.19637	
k__Bacteria|p__Actinobacteria	2|201174	1.0447	
k__Archaea|p__Euryarchaeota	2157|28890	0.1719	
k__Bacteria|p__Verrucomicrobia	2|74201	0.1664	
k__Bacteria|p__Synergistetes	2|508458	0.0381	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	45.95476	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	45.62671	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.54623	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.54154	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.81897	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.59484	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.44986	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.41363	
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.37247	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.18659	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.1719	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.1664	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.09577	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.0381	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.02222	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	45.95476	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	45.62671	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	3.54623	
