#mpa_v30_CHOCOPhlAn_201901
#/home/gordonq/.conda/envs/my_base/bin/metaphlan /groups/cgsd/gordonq/TSS_depth/matched_public_data/DNA_primary/X316192082_RNAlater_1.fastq.gz,/groups/cgsd/gordonq/TSS_depth/matched_public_data/DNA_primary/X316192082_RNAlater_2.fastq.gz --input_type fastq --bowtie2out mpa_res/X316192082_RNAlater.bowtie2.bz2 --nproc 64 -o mpa_res/X316192082_RNAlater.txt
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.88422	
k__Archaea	2157	0.11578	
k__Bacteria|p__Firmicutes	2|1239	54.09606	
k__Bacteria|p__Bacteroidetes	2|976	36.08005	
k__Bacteria|p__Actinobacteria	2|201174	9.5085	
k__Bacteria|p__Proteobacteria	2|1224	0.19144	
k__Archaea|p__Euryarchaeota	2157|28890	0.11578	
k__Bacteria|p__Synergistetes	2|508458	0.0065	
k__Bacteria|p__Lentisphaerae	2|256845	0.00166	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	49.86028	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	36.08005	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	8.12767	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.2154	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.47899	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.38082	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.41832	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.17984	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.12307	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.11578	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00776	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.0065	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00385	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.00166	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	49.86028	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	36.08005	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	8.12767	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.78724	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	1.47899	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.36471	
